movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
2079,TMDB-82992,분노의 질주: 더 맥시멈,2013-05-21,https://image.tmdb.org/t/p/w500/irurzn8D84eA0ttCq2Wr3S1s5ks.jpg,,TAGGED
2054,TMDB-36658,엑스맨  2,2003-04-27,https://image.tmdb.org/t/p/w500/bTKR1QrmQWdg2iWJIkwnFwrCHQD.jpg,,TAGGED
2042,TMDB-9799,분노의 질주,2001-06-22,https://image.tmdb.org/t/p/w500/l4rUaS2Vh1YnkmjJzL595zVH6RU.jpg,,TAGGED
2055,TMDB-36668,엑스맨: 최후의 전쟁,2006-05-24,https://image.tmdb.org/t/p/w500/xyjp5pnhz5QszUc4QdmU1VHfx8g.jpg,,TAGGED
2077,TMDB-76170,더 울버린,2013-07-21,https://image.tmdb.org/t/p/w500/x7YdmnuBTUVq9h17YF7AP5hn3Vt.jpg,,TAGGED
1440,TMDB-45269,킹스 스피치,2010-11-26,https://image.tmdb.org/t/p/w500/pjoGWlSQdojGkUBtCfFTW2a3AKR.jpg,,TAGGED
1495,TMDB-152532,달라스 바이어스 클럽,2013-11-01,https://image.tmdb.org/t/p/w500/sliuBXqAcFGC0IC76r3MI8lPhX9.jpg,,TAGGED
1456,TMDB-59436,미드나잇 인 파리,2011-05-11,https://image.tmdb.org/t/p/w500/hKDpuZIeAjgc26DRIVEcyqyJpmM.jpg,,TAGGED
1561,TMDB-334543,라이언,2016-11-24,https://image.tmdb.org/t/p/w500/ue1KPcUK1sLsdBVZGM33ZDvDbCx.jpg,,TAGGED
1372,TMDB-12477,반딧불의 묘,1988-04-16,https://image.tmdb.org/t/p/w500/uN0x0G4uuRjFJIFN57iYihBV2Qh.jpg,,TAGGED
1468,TMDB-83666,문라이즈 킹덤,2012-05-16,https://image.tmdb.org/t/p/w500/z3TPSCsSfj5fDn3WvD2GKOsyLve.jpg,,TAGGED
1634,TMDB-449176,"러브, 사이먼",2018-02-16,https://image.tmdb.org/t/p/w500/5Gf4bV9MqB0INHSLlVvVOQ4nAzM.jpg,,TAGGED
960,20191183,제미니 맨,2019-10-02,https://image.tmdb.org/t/p/w500/8QF4VoXyrRGDvo172nhcFKZvwKr.jpg,,TAGGED
1329,TMDB-9377,페리스의 해방,1986-06-11,https://image.tmdb.org/t/p/w500/3JxxljEbEkPZNDS45UygT5mEJzH.jpg,,TAGGED
1613,TMDB-424139,할로윈,2018-10-18,https://image.tmdb.org/t/p/w500/wnJeyVsUbhnen4hZbYoJdjJHK2c.jpg,,TAGGED
1186,TMDB-583,라이프 오브 브라이언,1979-08-17,https://image.tmdb.org/t/p/w500/lSSA64WF0M0BXnjwr2quMh6shCl.jpg,,TAGGED
1577,TMDB-381341,퍼펙트 스트레인저,2016-02-11,https://image.tmdb.org/t/p/w500/sm9yF75C2S3YDTGqFruJHYXhG8P.jpg,,TAGGED
1132,TMDB-213,북북서로 진로를 돌려라,1959-08-06,https://image.tmdb.org/t/p/w500/qwWl4KArRundBKkmJoy05sNlrxs.jpg,,TAGGED
1231,TMDB-805,악마의 씨,1968-06-12,https://image.tmdb.org/t/p/w500/zagBWj89ecQKW0Ilt2gkDfDxSW2.jpg,,TAGGED
1344,TMDB-10229,워크 투 리멤버,2002-01-25,https://image.tmdb.org/t/p/w500/chQNZbEuwYZoHYxLV3eAGlcURV1.jpg,,TAGGED
1215,TMDB-703,애니 홀,1977-04-19,https://image.tmdb.org/t/p/w500/dEtjPywhDbAXYjoFfhBC4U9unU7.jpg,,TAGGED
1095,TMDB-71,빌리 엘리어트,2000-09-28,https://image.tmdb.org/t/p/w500/n7Eod4lUHrbb1xGugFbKCDOdId.jpg,,TAGGED
1283,TMDB-1955,엘리펀트 맨,1980-10-09,https://image.tmdb.org/t/p/w500/bQnsWfKx84msuplRbieAzmzAXWj.jpg,,TAGGED
1137,TMDB-239,뜨거운 것이 좋아,1959-03-19,https://image.tmdb.org/t/p/w500/kyqoOUfbLsH12POjGBFJ3rBPwsy.jpg,,TAGGED
914,20160781,쿠보와 전설의 악기,2016-08-18,https://image.tmdb.org/t/p/w500/1XzvSRkeDknQOZNHvQ0v7Yo76IE.jpg,,TAGGED
1100,TMDB-80,비포 선셋,2004-06-16,https://image.tmdb.org/t/p/w500/2k4KFbEeknXmHbNP0qt7lp2p3Y3.jpg,,TAGGED
977,20198961,더 킹: 헨리 5세,2019-10-11,https://image.tmdb.org/t/p/w500/8Zqh8LSRzsiGx8qkYJQm9U8Ul04.jpg,,TAGGED
